ball_one;ball_two;ball_three;ball_four;ball_five;ball_six;bonusball;sum_six_ball;sum_allballs
3;16;25;32;33;39;28;148;176
4;5;14;24;29;38;19;114;133
4;6;9;16;31;42;40;108;148
12;16;24;27;34;36;10;149;159
12;16;23;34;36;41;19;162;181
11;16;24;25;28;29;35;133;168
11;20;22;23;33;39;6;148;154
9;10;11;13;22;29;41;94;135
1;24;26;29;32;37;36;149;185
14;17;28;29;35;38;3;161;164
2;25;28;29;30;41;9;155;164
20;22;26;29;31;41;23;169;192
7;12;15;24;28;37;41;123;164
1;20;32;34;35;37;27;159;186
7;22;26;36;37;40;38;168;206
1;3;7;30;37;38;12;116;128
2;8;16;30;32;42;37;130;167
4;11;13;15;24;39;12;106;118
1;8;9;15;22;36;19;91;110
2;8;26;31;32;39;40;138;178
4;6;8;14;35;37;18;104;122
7;10;15;20;35;40;1;127;128
9;11;13;17;20;42;33;112;145
2;10;11;17;21;34;36;95;131
4;5;14;16;32;41;35;112;147
2;5;12;19;23;28;33;89;122
9;24;32;37;38;39;23;179;202
5;15;21;24;27;31;14;123;137
12;16;19;20;23;26;25;116;141
1;4;9;18;32;41;24;105;129
16;17;18;23;26;34;24;134;158
3;4;8;13;21;36;22;85;107
2;7;13;14;30;32;28;98;126
5;7;13;30;32;38;18;125;143
4;8;9;13;18;30;14;82;96
4;5;20;21;25;35;9;110;119
6;9;14;34;35;39;38;137;175
5;6;13;20;38;42;28;124;152
1;22;24;31;33;41;9;152;161
6;11;19;30;37;40;26;143;169
18;22;28;34;41;42;2;185;187
5;11;18;33;37;39;2;143;145
4;9;11;14;16;17;37;71;108
1;11;19;23;24;27;17;105;122
3;4;6;7;20;23;22;63;85
1;4;11;14;21;25;13;76;89
13;14;23;26;31;34;29;141;170
14;22;25;31;34;41;4;167;171
4;6;12;24;34;35;17;115;132
6;11;22;24;33;42;39;138;177
1;16;19;35;36;37;29;144;173
7;24;31;34;35;36;20;167;187
3;8;10;31;36;39;2;127;129
7;10;21;22;24;25;17;109;126
4;11;15;17;21;41;16;109;125
2;9;10;17;27;39;11;104;115
5;17;25;31;37;40;13;155;168
6;12;23;30;34;35;5;140;145
1;2;4;10;21;35;14;73;87
4;5;10;13;33;36;12;101;113
3;5;11;27;31;37;1;114;115
16;19;25;31;32;41;30;164;194
2;3;5;6;14;34;24;64;88
3;8;12;31;33;35;22;122;144
21;24;30;31;33;42;34;181;215
12;19;28;29;35;41;31;164;195
10;19;30;32;35;40;39;166;205
5;20;27;28;29;42;40;151;191
10;15;21;27;39;42;25;154;179
4;10;17;21;29;37;9;118;127
5;7;11;17;19;34;4;93;97
16;18;20;31;33;35;38;153;191
8;14;16;28;31;33;12;130;142
7;17;19;23;25;29;1;120;121
1;12;27;30;33;36;17;139;156
19;20;24;28;29;30;15;150;165
6;11;18;29;30;31;37;125;162
2;8;11;15;26;28;38;90;128
1;2;4;18;19;21;10;65;75
18;20;22;23;27;33;19;143;162
3;7;29;30;31;39;38;139;177
4;7;10;12;18;33;19;84;103
8;9;13;16;27;30;28;103;131
11;17;18;24;26;38;16;134;150
17;20;23;27;28;36;15;151;166
10;16;17;20;24;30;15;117;132
2;7;12;18;23;32;15;94;109
3;4;5;8;24;38;13;82;95
2;13;18;29;30;34;23;126;149
21;26;28;33;34;35;18;177;195
2;9;17;22;26;29;21;105;126
7;13;15;23;25;30;17;113;130
7;13;16;19;38;39;32;132;164
8;15;16;19;24;35;38;117;155
5;8;16;21;27;32;19;109;128
1;2;9;16;32;36;6;96;102
2;11;12;25;32;33;21;115;136
5;6;9;14;17;19;31;70;101
13;17;18;22;24;34;15;128;143
15;18;19;27;30;32;29;141;170
10;21;25;27;30;39;2;152;154
1;3;4;9;10;20;28;47;75
10;18;23;28;35;39;27;153;180
8;11;15;28;34;35;13;131;144
18;20;24;32;34;39;29;167;196
1;3;8;10;26;38;18;86;104
3;5;12;19;25;38;35;102;137
4;6;10;30;31;39;26;120;146
8;12;18;27;32;36;11;133;144
1;18;19;24;26;32;28;120;148
4;7;28;34;38;39;1;150;151
4;13;22;28;32;36;26;135;161
1;5;23;27;33;39;6;128;134
5;10;15;19;35;39;16;123;139
3;8;24;29;31;35;10;130;140
4;11;19;21;28;39;16;122;138
12;15;25;29;30;32;34;143;177
10;11;13;22;23;30;21;109;130
4;7;13;30;33;39;11;126;137
7;15;19;23;24;38;4;126;130
13;14;17;23;31;35;6;133;139
9;23;25;28;34;37;31;156;187
1;7;10;24;27;36;3;105;108
2;10;18;23;31;34;15;118;133
9;15;27;30;32;34;16;147;163
9;22;27;30;31;39;37;158;195
1;16;18;21;23;26;10;105;115
7;15;19;21;25;32;6;119;125
11;13;16;23;31;39;27;133;160
3;13;16;26;31;35;2;124;126
1;4;12;15;26;37;23;95;118
1;2;4;10;13;18;23;48;71
1;18;21;26;34;36;29;136;165
20;21;32;33;35;37;17;178;195
19;24;29;33;36;37;2;178;180
22;26;33;35;36;39;13;191;204
4;20;24;27;33;36;28;144;172
4;13;15;21;24;34;11;111;122
15;20;25;27;28;36;2;151;153
1;5;8;17;30;39;25;100;125
4;7;9;25;36;37;27;118;145
12;14;21;32;36;38;11;153;164
2;3;10;16;22;26;34;79;113
6;19;26;35;37;38;21;161;182
3;17;20;21;22;39;8;122;130
1;3;19;21;22;38;36;104;140
3;7;12;14;19;20;4;75;79
1;5;20;26;29;37;4;118;122
2;12;20;21;37;39;7;131;138
3;14;26;31;34;37;8;145;153
2;3;20;37;38;39;8;139;147
5;10;12;19;25;39;2;110;112
1;2;3;17;25;32;29;80;109
13;19;20;23;35;38;17;148;165
1;2;12;15;19;36;37;85;122
2;8;22;34;35;39;29;140;169
14;15;23;30;34;35;4;151;155
1;6;16;24;27;32;30;106;136
2;7;18;21;25;27;34;100;134
8;18;21;24;34;35;22;140;162
2;9;22;28;30;33;4;124;128
4;10;14;18;24;32;2;102;104
2;5;9;12;26;31;34;85;119
3;18;24;25;34;36;27;140;167
2;11;12;15;26;32;31;98;129
1;6;8;23;28;34;10;100;110
5;20;27;29;30;37;21;148;169
17;20;22;27;28;34;16;148;164
4;6;24;25;32;33;10;124;134
3;6;8;17;19;24;39;77;116
2;7;9;34;35;37;24;124;148
5;8;11;16;17;36;14;93;107
4;21;22;26;27;34;23;134;157
9;15;16;18;21;29;19;108;127
19;25;31;36;38;39;15;188;203
1;3;5;8;12;24;27;53;80
1;4;6;11;23;38;36;83;119
1;7;13;22;23;31;16;97;113
1;14;16;21;38;39;10;129;139
2;8;17;20;27;30;10;104;114
7;12;13;20;21;36;1;109;110
3;7;11;34;35;36;16;126;142
3;10;11;19;38;39;16;120;136
2;5;27;33;34;37;12;138;150
7;15;21;23;28;35;20;129;149
4;9;26;27;33;34;38;133;171
4;7;8;17;23;35;21;94;115
5;6;10;17;27;35;33;100;133
8;11;15;25;37;39;9;135;144
10;11;12;14;25;36;39;108;147
6;11;20;21;34;39;37;131;168
17;20;24;26;30;34;5;151;156
7;14;15;16;26;29;24;107;131
4;8;26;31;33;34;2;136;138
6;9;14;15;31;37;21;112;133
21;27;30;32;34;35;19;179;198
5;24;31;33;37;39;27;169;196
7;10;22;29;30;32;9;130;139
5;10;12;16;18;26;37;87;124
2;14;15;28;31;37;27;127;154
1;5;12;21;25;27;23;91;114
1;4;5;17;27;28;16;82;98
9;13;14;21;22;25;12;104;116
3;5;7;17;24;39;1;95;96
6;7;12;35;36;39;27;135;162
3;17;26;28;35;37;33;146;179
6;10;12;13;23;33;16;97;113
7;12;18;20;30;38;25;125;150
11;15;16;19;36;37;34;134;168
18;22;26;27;30;37;33;160;193
9;10;12;17;18;21;13;87;100
1;6;7;24;28;35;34;101;135
2;24;26;30;32;34;28;148;176
1;2;7;27;32;37;17;106;123
8;24;25;26;29;37;6;149;155
9;20;23;27;29;37;34;145;179
16;23;25;27;31;38;5;160;165
1;13;22;27;31;32;25;126;151
4;10;13;31;32;39;36;129;165
8;17;26;30;32;34;23;147;170
3;9;20;21;33;37;10;123;133
8;17;18;29;30;34;31;136;167
4;6;10;18;24;33;13;95;108
2;4;7;15;29;31;27;88;115
5;19;21;25;27;30;31;127;158
5;7;19;27;32;37;34;127;161
17;20;24;31;36;37;28;165;193
17;18;29;32;36;39;8;171;179
11;12;14;17;26;38;21;118;139
13;16;21;26;27;29;25;132;157
7;8;17;30;32;36;33;130;163
9;13;25;26;27;34;2;134;136
2;14;17;22;26;34;1;115;116
19;25;34;36;38;39;28;191;219
9;10;17;26;29;30;15;121;136
2;4;5;29;30;35;8;105;113
2;3;4;5;16;18;29;48;77
13;15;16;20;31;36;34;131;165
3;27;28;29;36;38;14;161;175
11;15;24;26;30;32;2;138;140
2;3;19;28;30;35;11;117;128
3;5;9;14;30;32;29;93;122
7;10;11;12;13;37;38;90;128
1;8;10;15;34;35;12;103;115
6;10;22;25;30;38;7;131;138
1;3;12;20;26;28;14;90;104
1;3;6;9;13;28;33;60;93
1;3;13;19;26;37;31;99;130
6;9;16;33;37;38;27;139;166
4;9;10;14;15;30;16;82;98
5;9;16;24;29;31;15;114;129
